province_code,province_name,city_name,city_code,Latitude,Longitude,city_name_zh,city_name_zh2,province_name_zh,province_name_en,,,,,,,
360000 ,Jiangxi Province,Jian,360800,27.1172 ,114.9793 ,吉安,吉安,江西,Jiangxi Province,,,,,,,
360000 ,Jiangxi Province,Yichun,360900,27.8193 ,114.4107 ,宜春,宜春,江西,Jiangxi Province,,,,,,,
360000 ,Jiangxi Province,Fuzhou,361000,27.9511 ,116.3530 ,抚州,抚州,江西,Jiangxi Province,,,,,,,
360000 ,Jiangxi Province,Shangrao,361100,28.4518 ,117.9429 ,上饶,上饶,江西,Jiangxi Province,,,,,,,
370000 ,Shandong Province,Jinan,370100,36.6667 ,116.9833 ,济南,济南,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Qingdao,370200,36.0661 ,120.3694 ,青岛,青岛,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Zibo,370300,36.7906 ,118.0633 ,淄博,淄博,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Zaozhuang,370400,34.8647 ,117.5536 ,枣庄,枣庄,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Dongying,370500,37.4500 ,118.4833 ,东营,东营,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Yantai,370600,37.4765 ,121.4408 ,烟台,烟台,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Weifang,370700,36.7068 ,119.1618 ,潍坊,潍坊,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Jining,370800,35.4050 ,116.5814 ,济宁,济宁,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Taian,370900,36.1853 ,117.1200 ,泰安,泰安,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Weihai,371000,37.5091 ,122.1136 ,威海,威海,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Rizhao,371100,35.4275 ,119.5456 ,日照,日照,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Laiwu,371200,36.2825 ,117.6569 ,莱芜,莱芜,山东,Shandong Province,,,,,,,
370000 ,Shandong Province,Linyi,371300,35.0631 ,118.3422 ,临沂,临沂,山东,Shandong Province,,,,,,,
